node,family,D_S1-K,life_years_S1-K,D_S1-Y,life_years_S1-Y,D_S2-K,life_years_S2-K,D_S2-Y,life_years_S2-Y,D_S3-K_5,life_years_S3-K_5,D_S3-K_10,life_years_S3-K_10,D_S3-K_15,life_years_S3-K_15,D_S3-K_20,life_years_S3-K_20,D_S3-K_25,life_years_S3-K_25,D_S3-Y_5,life_years_S3-Y_5,D_S3-Y_10,life_years_S3-Y_10,D_S3-Y_15,life_years_S3-Y_15,D_S3-Y_20,life_years_S3-Y_20,D_S3-Y_25,life_years_S3-Y_25,D_S4-K,life_years_S4-K,D_S4-Y,life_years_S4-Y,D_S5-K_5,life_years_S5-K_5,D_S5-K_10,life_years_S5-K_10,D_S5-K_15,life_years_S5-K_15,D_S5-K_20,life_years_S5-K_20,D_S5-K_25,life_years_S5-K_25,D_S5-Y_5,life_years_S5-Y_5,D_S5-Y_10,life_years_S5-Y_10,D_S5-Y_15,life_years_S5-Y_15,D_S5-Y_20,life_years_S5-Y_20,D_S5-Y_25,life_years_S5-Y_25
43,X,62.0954371895602,0.40260607109797636,62.0954371895602,0.40260607109797636,8.859598899752024,2.8217981742604326,8.859598899752024,2.8217981742604326,,,,,,,,,,,,,,,,,,,,,0.8218344119200667,30.419753222053632,0.8218344119200667,30.419753222053632,,,,,,,,,,,,,,,,,,,,
44,X,52.61482762227097,0.4751512288413907,52.61482762227097,0.4751512288413907,7.466442105538171,3.3483149867935706,7.466442105538171,3.3483149867935706,,,,,,,,,,,,,,,,,,,,,0.6915774808414857,36.14923951771959,0.6915774808414857,36.14923951771959,,,,,,,,,,,,,,,,,,,,
45,X,18.318723381036644,1.3647239209845674,18.318723381036644,1.3647239209845674,4.924290077745388,5.0768739463550006,4.924290077745388,5.0768739463550006,1.17918949137227,4.240200609472274,2.599172801458,3.8473779020735073,4.319592091045601,3.4725501121030846,6.417637289343396,3.116411710149211,8.994085604655353,2.7796044088194978,1.17918949137227,4.240200609472274,2.599172801458,3.8473779020735073,4.319592091045601,3.4725501121030846,6.417637289343396,3.116411710149211,8.994085604655353,2.7796044088194978,1.160429734849012,21.543743019695068,1.160429734849012,21.543743019695068,0.26686108989058965,18.73633957670618,0.5747690904697054,17.398291184774617,0.9313289536649352,16.10601704260615,1.3458073151587127,14.860968412585406,1.8295488294844429,13.664571066433284,0.26686108989058965,18.73633957670618,0.5747690904697054,17.398291184774617,0.9313289536649352,16.10601704260615,1.3458073151587127,14.860968412585406,1.8295488294844429,13.664571066433284
46,X,18.83109108036074,1.3275916883049288,18.83109108036074,1.3275916883049288,5.061936246176092,4.93882158608489,5.061936246176092,4.93882158608489,1.2121510107081188,4.124898594176877,2.6718270206774344,3.742757267820627,4.440337512309895,3.378121586121703,6.597030285286966,3.0316671494755787,9.245499823779335,2.7040182225411162,1.2121510107081188,4.124898594176877,2.6718270206774344,3.742757267820627,4.440337512309895,3.378121586121703,6.597030285286966,3.0316671494755787,9.245499823779335,2.7040182225411162,1.1927743349664408,20.959538839090953,1.1927743349664408,20.959538839090953,0.2743006312145699,18.228175333977934,0.5907949443331337,16.926346604552634,0.9573010066964798,15.66905277971349,1.3833416176904096,14.457744742322918,1.8805817141720735,13.293758953200422,0.2743006312145699,18.228175333977934,0.5907949443331337,16.926346604552634,0.9573010066964798,15.66905277971349,1.3833416176904096,14.457744742322918,1.8805817141720735,13.293758953200422
47,X,62.72645669967543,0.3985559095055557,62.72645669967543,0.3985559095055557,16.825249034125637,1.4858621081503167,16.825249034125637,1.4858621081503167,4.0289574178603145,1.2410158463911947,8.880543606813951,1.1260571923015052,14.758501818812109,1.0163633263154166,21.926517701062114,0.9121375438030092,30.728849427941768,0.8135677210636946,4.0289574178603145,1.2410158463911947,8.880543606813951,1.1260571923015052,14.758501818812109,1.0163633263154166,21.926517701062114,0.9121375438030092,30.728849427941768,0.8135677210636946,3.9517488119955524,6.326313029844504,3.9517488119955524,6.326313029844504,0.9087974228314164,5.501776165278045,1.957403642025385,5.108808313880879,3.171715130922303,4.729302406057554,4.5832791808113775,4.363687921026753,6.23072329401098,4.012375260514328,0.9087974228314164,5.501776165278045,1.957403642025385,5.108808313880879,3.171715130922303,4.729302406057554,4.5832791808113775,4.363687921026753,6.23072329401098,4.012375260514328
48,X,54.87796517653845,0.4555562495726072,54.87796517653845,0.4555562495726072,14.724735643425303,1.6978233501368614,14.724735643425303,1.6978233501368614,3.5259813911450064,1.418044920077224,7.771907050428325,1.2866854859579002,12.916089796911043,1.1613421891497948,19.189303395237605,1.0422473181055438,26.892837904930484,0.9296155388426501,3.5259813911450064,1.418044920077224,7.771907050428325,1.2866854859579002,12.916089796911043,1.1613421891497948,19.189303395237605,1.0422473181055438,26.892837904930484,0.9296155388426501,3.459964159485201,7.22550837165888,3.459964159485201,7.22550837165888,0.79570320877292,6.283749952084099,1.713820506296708,5.834916762437626,2.7770267682981835,5.401460357255503,4.0129447629162325,4.983871242091524,5.455396744916703,4.5826181245744975,0.79570320877292,6.283749952084099,1.713820506296708,5.834916762437626,2.7770267682981835,5.401460357255503,4.0129447629162325,4.983871242091524,5.455396744916703,4.5826181245744975
49,X,6.142832100902333,4.069784032731043,6.142832100902333,4.069784032731043,0.24122515343931983,103.63761673920439,0.24122515343931983,103.63761673920439,,,,,,,,,,,,,,,,,,,,,0.13210890738330938,189.23780761779653,0.13210890738330938,189.23780761779653,,,,,,,,,,,,,,,,,,,,
50,X,6.429768443963127,3.888164903274605,6.429768443963127,3.888164903274605,0.254479877532387,98.23959458962847,0.254479877532387,98.23959458962847,,,,,,,,,,,,,,,,,,,,,0.13939545075279988,179.34588155487458,0.13939545075279988,179.34588155487458,,,,,,,,,,,,,,,,,,,,
51,X,15.699065116829484,1.5924515131286296,15.699065116829484,1.5924515131286296,0.543084252058391,46.03337310048178,0.543084252058391,46.03337310048178,,,,,,,,,,,,,,,,,,,,,0.29430958334126417,84.94456658929609,0.29430958334126417,84.94456658929609,,,,,,,,,,,,,,,,,,,,
52,X,13.262451777813379,1.8850209915049227,13.262451777813379,1.8850209915049227,0.4634761495845674,53.94020819066638,0.4634761495845674,53.94020819066638,,,,,,,,,,,,,,,,,,,,,0.25196617554497314,99.2196668696818,0.25196617554497314,99.2196668696818,,,,,,,,,,,,,,,,,,,,
