member_id,max_tensile_N,max_compressive_N,mean_tensile_unweighted_N,mean_compressive_unweighted_N,mean_tensile_weighted_N,mean_compressive_weighted_N
76,468352.66001367406,-335974.9213043111,54541.93682294207,-41695.58123682257,52287.21775630474,-37865.54238348962
77,423698.2820712399,-687522.1686329895,56228.009175156,-125617.45997135637,40045.60234663292,-125187.2014450878
78,461935.2933137942,-584930.9320612606,44761.6786094063,-80040.34086714637,45334.36295993646,-72731.21355048625
79,621565.1496312558,-481892.45590228745,92315.86381803712,-51723.95773607346,80496.07352850807,-52755.36997031723
80,609077.0584327896,-427938.8273032537,91319.1096219013,-50397.79155403427,90529.66527735944,-39254.53711540782
81,426591.4148123262,-607001.3582574694,61201.93982174626,-120465.36261051214,40023.29034995178,-122028.69949590064
82,478585.44762520376,-519016.3727081228,49195.89626918749,-73605.85037388632,45763.216932822856,-69262.16585080962
83,538240.960968043,-496323.9767624197,88014.5840708156,-54463.29090110926,78994.55673731756,-52358.9815767328
84,561697.1637879513,-443803.72951099055,88839.64503161084,-53605.22048869368,89834.43038296753,-38333.39264121211
85,154470.458999147,-690124.5631922554,32769.112560266,-308110.69929451816,2691.457997951584,-314031.7590970994
86,147774.76581323543,-697651.3613301464,32643.092616565245,-305252.52230945363,2606.074885409818,-311387.4314210863
87,105381.87537378902,-730666.4559188596,30605.26582247155,-301436.53273826913,3061.866016479838,-304509.6903337368
88,111883.7195319577,-718765.0700868808,32136.59897022428,-294648.7943779841,3254.006313009833,-298288.9938248361
89,326331.7821248183,-541182.2591895009,48059.65917938011,-117603.84118448044,30195.8241046376,-107030.3585883879
90,342484.5731408411,-516303.9041270516,54933.78996392626,-104898.24161431952,36315.57574206409,-91721.21033087886
91,350187.1550321434,-449151.2425509128,54034.413457999246,-108961.6207371783,34901.2994610277,-97613.56986148989
92,369495.5713220631,-424063.3384206477,63245.170684886114,-97782.50841428626,41783.39293007123,-82039.49094006995
93,249446.29943594133,-733824.4941967223,46205.79803871307,-256047.47925814983,15652.42582764042,-257340.6464737444
94,277900.5055682191,-689846.3746447563,45299.20536823618,-221932.08857500527,17163.830696587545,-222424.04822459965
95,430311.8248773477,-594793.7123759077,59672.16494307338,-131619.9939233206,35994.763371031724,-127785.27433052078
96,420403.5291057402,-578232.8837726356,57100.71025755791,-130517.30860366757,33200.59077819409,-128164.91161861576
97,200518.98247007557,-788891.448608263,39603.37443363729,-276625.9883241501,9821.064331683228,-279084.84261118725
98,217415.33024915744,-745302.2162893477,39867.12072559928,-244483.4536176163,10405.195937392013,-246008.66377372624
99,333092.33250388457,-642135.8875643364,46673.60180305625,-151745.8060949381,30044.76646457452,-146423.18295003928
100,312366.6308828306,-640917.0999470674,43836.41538733364,-153692.13819475367,27201.887186395143,-149353.562576126
101,0.0,-11221.687892988324,0.0,-11221.687892966109,0.0,-11226.84986939682
102,0.0,-11221.687892973425,0.0,-11221.687892968475,0.0,-11226.849869399191
103,0.0,-11221.687892973425,0.0,-11221.68789296797,0.0,-11226.8498693988
104,0.0,-11221.687892973425,0.0,-11221.687892966112,0.0,-11226.849869396829
105,0.0,-11315321.187048685,0.0,-6982058.461122871,0.0,-7075866.065571603
106,0.0,-11847452.84032857,0.0,-7294374.103605701,0.0,-7359834.714253264
107,1787347.891402088,-7093927.083914533,348902.65525037044,-2896183.695104147,189999.84307070108,-2831683.748172632
108,1299774.2639547382,-7261746.938649185,306048.2529262377,-3196605.7159057367,134930.48388901993,-3107804.790078338
109,0.0,-10382838.617046246,0.0,-6049566.265954398,0.0,-6142943.691434923
110,0.0,-10914950.390139936,0.0,-6361875.60442307,0.0,-6426911.37264144
111,2566451.899798611,-6162110.782421825,387669.3191595915,-2078758.505608092,210068.43981678667,-1972212.036943028
112,2078908.6055135576,-6328911.403098828,315861.0726905954,-2311697.289118617,169621.03272217006,-2207451.5111135896
